<keyword , #include >
<spc_char , < >
<header , stdio.h >
<spc_char , > >
<keyword , int >
<fun call , main() >
<spc_char , { >
<keyword , int >
<identifier , i >
<spc_char , = >
<number , 6 >
<spc_char , ; >
<keyword , char >
<identifier , s >
<spc_char , ; >
<keyword , float >
<identifier , a >
<spc_char , = >
<number , 5.5 >
<spc_char , ; >
<keyword , while >
<spc_char , ( >
<identifier , i >
<spc_char , < >
<number , 10 >
<spc_char , ) >
<spc_char , { >
<identifier , i >
<spc_char , = >
<number , 99 >
<spc_char , ; >
<keyword , while >
<spc_char , ( >
<identifier , i >
<spc_char , < >
<identifier , s >
<spc_char , ) >
<spc_char , { >
<keyword , int >
<identifier , j >
<spc_char , = >
<number , 10 >
<spc_char , ; >
<spc_char , } >
<spc_char , } >
<spc_char , } >
